Unnamed: 0,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
19,2015-08-16,1.33,80043.78,539.65,68666.01,394.9,10443.22,10297.68,145.54,0.0,conventional,2015,Albany
50,2015-01-11,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0.0,conventional,2015,Albany
7,2015-11-08,1.12,334041.6,250441.38,34483.33,488.24,48628.65,35662.93,12941.12,24.6,conventional,2015,Atlanta
20,2015-08-09,1.01,503791.72,385027.71,47040.07,4251.74,67472.2,45820.45,21568.48,83.27,conventional,2015,Atlanta
36,2015-04-19,1.12,430966.34,368709.65,18040.85,873.24,43342.6,29661.72,13680.88,0.0,conventional,2015,Atlanta
49,2015-01-18,1.11,431490.99,372236.92,18701.9,511.69,40040.48,16782.71,23257.77,0.0,conventional,2015,Atlanta
51,2015-01-04,1.0,435021.49,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0.0,conventional,2015,Atlanta
19,2015-08-16,1.14,882754.72,86492.03,597184.73,43102.61,155975.35,153156.63,2796.82,21.9,conventional,2015,BaltimoreWashington
23,2015-07-19,1.18,800194.34,52954.94,496206.47,50319.84,200713.09,196837.6,3862.02,13.47,conventional,2015,BaltimoreWashington
33,2015-05-10,1.26,855205.82,79192.07,507104.15,44390.54,224519.06,215572.03,8947.03,0.0,conventional,2015,BaltimoreWashington
13,2015-09-27,0.99,64187.8,47007.35,5754.04,3663.3,7763.11,7596.64,160.0,6.47,conventional,2015,Boise
25,2015-07-05,1.15,85044.45,61949.73,8022.13,8434.98,6637.61,6557.06,80.55,0.0,conventional,2015,Boise
44,2015-02-22,0.99,76836.1,50872.0,16374.74,2122.09,7467.27,7235.2,232.07,0.0,conventional,2015,Boise
9,2015-10-25,1.02,534249.47,4005.39,430725.78,191.31,99326.99,94581.94,4745.05,0.0,conventional,2015,Boston
39,2015-03-29,1.19,453631.25,3619.31,339299.3,151.36,110561.28,108838.11,1723.17,0.0,conventional,2015,Boston
43,2015-03-01,1.11,485736.1,4106.42,383573.77,192.98,97862.93,97423.17,439.76,0.0,conventional,2015,Boston
30,2015-05-31,1.4,130841.08,1039.49,54249.06,79.38,75473.15,75473.15,0.0,0.0,conventional,2015,BuffaloRochester
31,2015-05-24,1.43,121942.61,1033.76,55018.95,103.94,65785.96,65741.52,44.44,0.0,conventional,2015,BuffaloRochester
1,2015-12-20,0.94,4695737.21,1676601.43,1543280.76,266689.82,1209165.2,1061703.58,136747.1,10714.52,conventional,2015,California
10,2015-10-18,1.07,4999031.79,1847991.31,2286235.79,217814.17,646990.52,633893.61,10780.32,2316.59,conventional,2015,California
11,2015-10-11,1.08,5063309.38,1757211.58,2530023.18,221032.74,555041.88,533478.03,18373.18,3190.67,conventional,2015,California
14,2015-09-20,1.14,4759791.13,1702965.49,2230693.51,273922.36,552209.77,529779.37,17303.91,5126.49,conventional,2015,California
15,2015-09-13,1.13,5106508.12,1863270.81,2388023.33,270794.34,584419.64,502056.88,76297.56,6065.2,conventional,2015,California
39,2015-03-29,1.1,5341821.67,2609532.63,1869271.31,193577.55,669440.18,605995.11,61958.73,1486.34,conventional,2015,California
49,2015-01-18,1.02,5570915.26,2780859.66,2108450.36,121614.31,559990.93,520299.26,36501.18,3190.49,conventional,2015,California
15,2015-09-13,1.19,171077.53,30122.92,41616.87,36469.43,62868.31,56910.24,5958.07,0.0,conventional,2015,Charlotte
46,2015-02-08,1.17,150139.38,31509.41,35566.91,31778.73,51284.33,41921.3,9363.03,0.0,conventional,2015,Charlotte
8,2015-11-01,1.0,807041.46,69420.04,562214.56,106536.92,68869.94,68447.93,422.01,0.0,conventional,2015,Chicago
34,2015-05-03,1.04,978376.13,64798.64,690167.81,129694.01,93715.67,89297.42,4414.64,3.61,conventional,2015,Chicago
44,2015-02-22,1.18,773078.09,39072.26,533387.47,106178.47,94439.89,90447.44,3976.51,15.94,conventional,2015,Chicago
8,2015-11-01,0.93,254760.33,2998.18,166867.82,13267.88,71626.45,14831.2,53584.84,3210.41,conventional,2015,CincinnatiDayton
43,2015-03-01,1.03,136795.35,55610.59,36034.55,25775.13,19375.08,13297.29,1837.6,4240.19,conventional,2015,Columbus
4,2015-11-29,0.8,839818.87,477944.48,244879.52,6211.5,110783.37,96799.4,13967.44,16.53,conventional,2015,DallasFtWorth
14,2015-09-20,0.77,1155212.67,606586.38,425539.41,10973.08,112113.8,99272.95,12833.33,7.52,conventional,2015,DallasFtWorth
36,2015-04-19,0.8,1137811.87,735235.09,284292.72,16013.68,102270.38,89209.96,13055.16,5.26,conventional,2015,DallasFtWorth
49,2015-01-18,0.76,1091677.29,627090.61,374230.89,15550.56,74805.23,62375.69,12416.71,12.83,conventional,2015,DallasFtWorth
11,2015-10-11,0.9,775976.51,108538.74,432102.05,18840.69,216495.03,40462.27,176032.76,0.0,conventional,2015,Denver
27,2015-06-21,1.16,730826.79,184206.21,405469.62,12854.03,128296.93,83581.46,44715.47,0.0,conventional,2015,Denver
33,2015-05-10,1.08,735145.02,148762.57,454026.16,16724.31,115631.98,49343.56,66285.96,2.46,conventional,2015,Denver
29,2015-06-07,0.97,447813.52,153214.87,87106.49,131114.3,76377.86,61921.23,1180.76,13275.87,conventional,2015,Detroit
32,2015-05-17,0.95,495155.82,214237.95,98513.1,116503.88,65900.89,53494.15,591.25,11815.49,conventional,2015,Detroit
1,2015-12-20,1.13,126262.26,2630.11,85259.91,3211.51,35160.73,30547.62,2288.36,2324.75,conventional,2015,GrandRapids
5,2015-11-22,1.11,140981.22,3734.97,94794.75,5725.81,36725.69,33606.78,2327.22,791.69,conventional,2015,GrandRapids
8,2015-11-01,0.91,205592.1,3731.64,147281.28,8605.43,45973.75,43392.69,1757.12,823.94,conventional,2015,GrandRapids
16,2015-09-06,1.09,170309.3,3673.53,111964.57,6016.37,48654.83,45108.48,3486.89,59.46,conventional,2015,GrandRapids
23,2015-07-19,1.05,215736.47,2680.7,122122.69,29478.33,61454.75,52697.22,3806.21,4951.32,conventional,2015,GrandRapids
15,2015-09-13,1.03,3532480.92,492741.15,1958150.0,447108.5,634481.27,448051.74,132685.58,53743.95,conventional,2015,GreatLakes
40,2015-03-22,1.04,3746598.18,543151.72,2146436.5,451798.84,605211.12,453829.96,105804.36,45576.8,conventional,2015,GreatLakes
48,2015-01-25,1.13,2928692.32,390289.67,1649082.75,271642.56,617677.34,503612.64,109501.0,4563.7,conventional,2015,GreatLakes
4,2015-11-29,1.17,146103.34,23707.06,82015.89,110.54,40269.85,39640.65,629.2,0.0,conventional,2015,HarrisburgScranton
20,2015-08-09,1.07,247575.06,40320.2,149595.95,510.58,57148.33,56333.05,815.28,0.0,conventional,2015,HarrisburgScranton
24,2015-07-12,1.17,233638.96,42200.05,119798.85,2740.31,68899.75,67025.83,1705.19,168.73,conventional,2015,HarrisburgScranton
46,2015-02-08,1.02,239756.62,35933.38,126557.74,722.59,76542.91,75408.57,1134.34,0.0,conventional,2015,HarrisburgScranton
18,2015-08-23,1.14,298493.22,4337.08,248478.66,422.19,45255.29,44345.82,909.47,0.0,conventional,2015,HartfordSpringfield
23,2015-07-19,1.32,258239.1,3759.04,189919.51,5496.69,59063.86,56769.39,2294.47,0.0,conventional,2015,HartfordSpringfield
44,2015-02-22,1.38,220210.32,3632.57,142741.2,285.7,73550.85,71330.51,2220.34,0.0,conventional,2015,HartfordSpringfield
24,2015-07-12,0.79,999607.51,559622.59,307628.06,3226.08,129130.78,71467.17,57474.72,188.89,conventional,2015,Houston
27,2015-06-21,0.74,1196121.27,578767.93,449584.59,2227.98,165540.77,84406.17,81134.6,0.0,conventional,2015,Houston
31,2015-05-24,0.83,1089679.39,662438.33,324447.92,5151.72,97641.42,58142.73,39498.69,0.0,conventional,2015,Houston
34,2015-05-03,0.74,1296308.05,651055.45,502617.22,4521.86,138113.52,55875.33,82238.19,0.0,conventional,2015,Houston
35,2015-04-26,0.79,1082231.89,689172.94,295785.8,5527.28,91745.87,58557.13,33188.74,0.0,conventional,2015,Houston
41,2015-03-15,0.77,1043172.77,526390.61,401259.86,5000.2,110522.1,62352.87,48169.23,0.0,conventional,2015,Houston
44,2015-02-22,0.82,978807.74,520034.92,346617.64,6532.39,105622.79,73227.41,32395.38,0.0,conventional,2015,Houston
14,2015-09-20,0.91,185962.59,3942.44,116683.58,24166.47,41170.1,18045.98,18135.33,4988.79,conventional,2015,Indianapolis
32,2015-05-17,1.26,164076.81,18666.08,89510.92,16162.78,39737.03,21260.58,16314.28,2162.17,conventional,2015,Indianapolis
38,2015-04-05,1.17,151260.15,12623.45,95213.63,2843.96,40579.11,33761.92,6720.88,96.31,conventional,2015,Indianapolis
39,2015-03-29,1.09,161288.59,5382.76,97691.27,8095.81,50118.75,37465.78,11727.21,925.76,conventional,2015,Indianapolis
46,2015-02-08,0.98,158792.02,7650.86,109166.71,8455.43,33519.02,18968.55,12562.27,1988.2,conventional,2015,Indianapolis
44,2015-02-22,1.1,121048.7,79840.95,10684.39,1447.09,29076.27,21773.29,7302.98,0.0,conventional,2015,Jacksonville
46,2015-02-08,1.21,91840.75,62181.18,9886.68,375.65,19397.24,11016.44,8380.8,0.0,conventional,2015,Jacksonville
47,2015-02-01,0.92,237910.63,171139.21,22525.96,1299.6,42945.86,20816.49,22129.37,0.0,conventional,2015,Jacksonville
50,2015-01-11,1.2,99757.17,57635.74,17025.48,529.41,24566.54,14862.7,9703.84,0.0,conventional,2015,Jacksonville
5,2015-11-22,0.98,215985.17,87241.86,91574.86,3926.84,33241.61,31653.96,1587.65,0.0,conventional,2015,LasVegas
22,2015-07-26,1.06,272267.5,137702.81,75823.92,8654.82,50085.95,41514.45,8571.5,0.0,conventional,2015,LasVegas
27,2015-06-21,0.9,338638.8,128876.23,126683.91,4219.33,78859.33,58695.06,20164.27,0.0,conventional,2015,LasVegas
0,2015-12-27,0.8,2326942.14,976982.58,455203.42,86202.11,808554.03,722787.61,74359.03,11407.39,conventional,2015,LosAngeles
3,2015-12-06,0.66,3048290.53,1204232.39,682692.02,64728.33,1096637.79,997845.83,92324.72,6467.24,conventional,2015,LosAngeles
14,2015-09-20,0.99,2392448.9,1024117.14,947562.49,118706.07,302063.2,284791.57,12275.43,4996.2,conventional,2015,LosAngeles
18,2015-08-23,1.03,2604991.25,1687625.73,538010.14,92245.94,287109.44,279700.22,3994.61,3414.61,conventional,2015,LosAngeles
19,2015-08-16,0.93,2943218.77,2040657.52,516718.52,79890.52,305952.21,301831.12,760.09,3361.0,conventional,2015,LosAngeles
22,2015-07-26,0.95,2893887.74,2052103.6,440413.6,79478.59,321891.95,316322.88,2936.81,2632.26,conventional,2015,LosAngeles
38,2015-04-05,1.01,2603114.56,1753452.57,490701.38,73965.36,284995.25,245998.59,36929.22,2067.44,conventional,2015,LosAngeles
12,2015-10-04,1.11,63157.22,1596.38,39700.73,4198.9,17661.21,10607.98,6299.47,753.76,conventional,2015,Louisville
13,2015-09-27,1.31,318048.12,200219.37,57857.02,40.63,59931.1,35358.56,24572.54,0.0,conventional,2015,MiamiFtLauderdale
42,2015-03-08,1.3,356311.66,253963.7,32888.65,62.9,69396.41,47346.87,22049.54,0.0,conventional,2015,MiamiFtLauderdale
3,2015-12-06,1.0,2233138.01,507201.58,1154808.22,133316.89,437811.32,377999.41,57793.89,2018.02,conventional,2015,Midsouth
15,2015-09-13,1.09,2814803.06,574792.78,1444401.99,182702.62,612905.67,548306.36,61850.13,2749.18,conventional,2015,Midsouth
21,2015-08-02,1.14,2752081.97,532287.84,1359710.96,208419.92,651663.25,604227.7,46004.95,1430.6,conventional,2015,Midsouth
23,2015-07-19,1.14,2751192.77,569216.65,1234664.0,218257.94,729054.18,685065.97,41646.75,2341.46,conventional,2015,Midsouth
28,2015-06-14,1.09,3173051.42,653441.16,1484200.81,206159.51,829249.94,786795.07,40769.55,1685.32,conventional,2015,Midsouth
