tenure_months,monthly_fee,support_tickets,contract_type,is_churn
43,37.78,1,monthly,0
17,92.08,2,monthly,0
58,51.6,1,monthly,0
59,93.08,0,two_year,0
69,80.08,1,monthly,0
12,23.67,3,yearly,0
46,43.01,1,two_year,0
70,42.96,1,monthly,0
58,53.56,2,monthly,0
17,53.91,0,yearly,0
64,108.93,1,monthly,0
30,35.61,1,monthly,0
35,59.12,2,yearly,1
40,66.1,0,yearly,0
55,54.97,1,yearly,0
9,56.98,0,two_year,0
39,36.19,1,monthly,1
58,56.92,2,yearly,0
39,64.21,0,yearly,0
20,60.9,3,yearly,1
4,65.26,0,yearly,0
39,80.43,0,yearly,0
50,71.87,2,two_year,0
40,56.28,1,monthly,1
70,33.91,1,yearly,0
43,44.2,3,monthly,0
37,51.05,2,yearly,1
4,59.54,0,yearly,1
40,46.39,1,yearly,0
12,38.16,0,monthly,1
52,33.61,0,monthly,0
12,25.28,0,monthly,0
65,50.77,1,monthly,0
22,28.55,0,monthly,0
31,36.99,1,two_year,0
11,47.91,1,monthly,0
15,30.95,3,two_year,0
66,61.84,0,monthly,0
21,68.32,0,yearly,0
37,45.11,1,yearly,0
70,47.13,2,yearly,0
45,64.67,1,yearly,1
3,42.15,1,yearly,0
26,40.91,2,two_year,1
28,76.54,1,yearly,0
20,70.92,0,monthly,1
18,65.83,3,monthly,0
36,71.66,1,yearly,0
27,19.41,0,monthly,0
21,79.37,1,monthly,0
30,62.06,1,yearly,0
25,73.19,0,monthly,1
17,61.97,4,yearly,0
33,55.88,1,yearly,0
67,50.04,1,yearly,0
36,61.61,1,yearly,0
43,49.39,3,two_year,0
70,70.62,1,yearly,0
44,26.44,1,two_year,0
16,45.25,0,monthly,0
29,91.81,1,yearly,0
35,43.73,1,yearly,0
34,50.7,3,monthly,0
11,39.11,1,monthly,0
8,61.05,0,yearly,0
25,41.75,0,monthly,1
65,51.66,1,two_year,0
51,70.28,1,monthly,0
60,42.42,1,monthly,0
13,69.2,0,yearly,1
30,69.8,1,monthly,0
42,73.99,1,monthly,0
31,57.53,1,yearly,1
30,113.34,0,monthly,1
26,73.98,0,monthly,1
4,60.85,1,yearly,0
61,39.23,1,yearly,0
67,53.25,1,yearly,0
6,80.67,2,monthly,0
30,85.77,0,monthly,1
37,81.61,3,two_year,0
56,69.13,1,yearly,0
71,32.4,0,monthly,0
30,63.77,2,yearly,0
54,32.65,1,monthly,0
67,28.23,1,yearly,0
59,59.3,0,yearly,0
21,64.42,2,two_year,0
59,71.26,0,two_year,0
30,63.95,4,monthly,1
2,64.57,4,yearly,0
54,37.28,0,monthly,0
60,53.11,1,yearly,0
25,27.87,0,yearly,0
33,18.94,2,monthly,1
26,68.33,4,monthly,1
9,41.44,1,monthly,1
71,70.7,0,monthly,0
2,74.95,0,monthly,0
40,43.85,5,two_year,0
2,65.63,3,monthly,1
49,43.1,0,yearly,0
64,21.77,1,yearly,0
46,57.22,1,yearly,0
44,46.52,0,monthly,0
59,47.08,0,two_year,0
