area_m2,rooms,floor,district,year_built,price_k
55.4,3,16,center,1960,8529.0
64.0,3,4,industrial,2001,5580.0
53.0,2,6,industrial,1979,4255.0
100.6,5,1,industrial,1980,7691.0
36.4,2,3,center,1998,6728.0
49.6,2,16,south,2020,6461.0
42.1,2,14,south,2015,5434.0
49.6,2,5,south,2022,6474.0
84.7,4,12,center,1986,13981.0
94.5,4,10,industrial,1967,6818.0
46.6,2,15,center,1973,7563.0
46.1,2,5,center,1982,8058.0
36.5,2,16,industrial,1979,2852.0
90.7,4,6,north,1973,10134.0
86.7,4,12,north,1969,8505.0
59.7,3,7,south,1971,5896.0
31.3,1,11,industrial,2002,3050.0
33.3,2,6,center,1991,6733.0
65.8,3,14,south,1962,6273.0
74.1,3,11,north,1996,8232.0
20.0,1,5,center,2013,4284.0
54.9,2,16,north,1987,6383.0
97.6,4,12,south,1980,9791.0
57.2,3,7,north,1977,6166.0
94.8,4,3,north,1984,8748.0
76.3,3,16,south,1977,7885.0
38.1,2,13,south,2019,5262.0
55.6,3,11,south,2023,7380.0
59.2,3,14,industrial,1981,5406.0
41.0,2,10,north,2019,5618.0
40.7,2,4,north,2014,5764.0
95.1,4,4,north,1964,9221.0
40.5,2,2,south,1991,4938.0
85.7,4,2,center,2002,13887.0
52.4,2,12,north,1987,5595.0
61.4,3,14,center,1989,10161.0
74.4,3,3,north,1991,8761.0
48.8,2,10,industrial,2004,4768.0
74.5,3,2,south,1978,8120.0
20.0,1,7,north,1998,2744.0
71.7,3,13,south,1975,7738.0
20.0,1,13,south,2016,3208.0
57.0,3,16,north,1965,6089.0
80.8,4,5,north,1964,8301.0
75.7,3,16,south,1962,7684.0
33.4,2,13,center,1982,5883.0
36.3,2,6,south,1998,4187.0
46.8,2,6,south,2023,6432.0
66.1,3,2,south,1989,7686.0
20.0,1,15,industrial,1971,1658.0
61.7,3,4,south,1983,5788.0
68.9,3,5,south,1968,6991.0
55.8,3,7,center,1990,9186.0
73.6,3,3,south,2006,8124.0
66.9,3,13,industrial,1962,5186.0
50.1,2,12,industrial,2009,4764.0
20.0,1,3,industrial,1974,1709.0
64.9,3,3,center,2003,10943.0
41.0,2,1,south,2012,5769.0
49.3,2,16,industrial,2009,4939.0
72.5,3,7,south,2002,7556.0
93.2,4,11,south,2004,9630.0
61.2,3,3,south,1972,6199.0
74.2,3,4,south,1968,6867.0
30.2,1,9,north,1984,3129.0
67.4,3,4,center,1998,11485.0
60.7,3,10,industrial,1999,5679.0
89.0,4,15,industrial,2009,7609.0
50.1,2,5,industrial,1979,4217.0
56.7,3,10,north,2015,7221.0
85.3,4,15,center,1988,14074.0
60.0,3,15,north,1975,6767.0
37.6,2,1,industrial,2007,2876.0
118.1,5,2,south,1968,11356.0
38.3,2,16,industrial,1985,3741.0
60.6,3,15,north,2009,7292.0
69.6,3,6,south,2009,7925.0
67.9,3,9,south,1976,7243.0
57.8,3,10,north,1970,6169.0
57.9,3,11,industrial,1962,4883.0
56.8,3,13,south,1965,6108.0
37.4,2,6,center,2012,7019.0
109.3,5,15,center,2010,17969.0
57.2,3,1,industrial,1992,3802.0
75.1,3,1,south,1996,7926.0
54.6,2,16,south,1980,5368.0
54.2,2,3,south,1972,5569.0
52.0,2,16,north,1960,5435.0
27.9,1,5,south,2003,4050.0
58.5,3,6,industrial,1962,4818.0
53.0,2,1,center,1966,8215.0
87.8,4,16,south,2010,10647.0
35.7,2,6,north,1997,4644.0
49.3,2,3,north,1991,5231.0
42.2,2,8,north,1973,4420.0
93.7,4,3,industrial,1969,6798.0
42.9,2,13,center,1989,7623.0
74.4,3,2,north,1982,7633.0
83.3,4,8,south,1994,8750.0
58.8,3,7,center,1970,9208.0
31.7,1,1,south,1974,3204.0
32.0,1,1,industrial,1967,2775.0
80.9,4,9,center,1987,13326.0
34.3,2,7,center,1977,6161.0
70.6,3,3,industrial,1974,5292.0
64.5,3,3,center,1995,11174.0
70.3,3,13,center,1991,11098.0
72.4,3,12,industrial,1973,5098.0
41.5,2,10,industrial,2004,3713.0
40.5,2,14,south,1981,4548.0
77.7,4,2,south,1981,8390.0
48.2,2,12,industrial,1990,4096.0
20.0,1,13,south,1968,2075.0
76.3,3,4,south,1986,7862.0
39.2,2,9,industrial,1997,4044.0
72.3,3,13,south,1968,7041.0
92.6,4,10,south,1996,9618.0
62.4,3,4,north,1962,5808.0
83.9,4,11,south,1998,8836.0
65.4,3,13,south,1962,6865.0
96.9,4,1,north,1971,9990.0
38.6,2,10,north,1982,4243.0
61.8,3,9,industrial,1999,5957.0
76.8,3,6,north,2006,8661.0
57.8,3,1,center,1990,10089.0
87.3,4,2,north,1968,9470.0
52.5,2,13,north,1984,6014.0
107.5,5,14,south,2010,11064.0
108.7,5,7,north,1965,11921.0
68.2,3,16,north,2005,8268.0
74.2,3,15,industrial,1984,5941.0
88.2,4,11,center,1960,13904.0
35.9,2,10,center,2004,6941.0
33.1,2,16,industrial,1961,3076.0
89.6,4,10,south,1983,8959.0
68.0,3,15,south,1972,7064.0
57.0,3,16,industrial,1997,4729.0
62.2,3,4,industrial,1963,4811.0
20.0,1,11,center,1965,3288.0
57.8,3,12,south,1994,6593.0
45.4,2,14,south,2023,6004.0
82.2,4,6,north,1962,8226.0
83.9,4,14,industrial,1989,6540.0
74.7,3,8,north,2011,9121.0
70.7,3,7,industrial,1978,6137.0
29.1,1,3,south,1991,3360.0
75.0,3,6,south,2013,8732.0
75.8,3,16,center,2006,13035.0
89.4,4,12,industrial,1978,6966.0
108.6,5,12,south,2008,11081.0
24.8,1,15,center,2003,4524.0
