units_sold,price_per_unit,discount_pct,manager,total_with_vat,revenue
23,146.14,10,sidorova,3630.05,3025.04
29,358.64,15,ivanov,10608.65,8840.54
37,372.99,0,sidorova,16560.77,13800.64
29,455.54,0,petrov,15852.74,13210.62
14,281.03,0,sidorova,4721.29,3934.41
8,138.21,5,petrov,1260.5,1050.42
21,250.29,0,petrov,6307.32,5256.1
18,241.26,0,ivanov,5211.3,4342.75
13,406.3,15,petrov,5387.59,4489.66
32,95.49,5,sidorova,3483.61,2903.01
36,299.65,5,sidorova,12297.55,10247.96
15,468.32,5,ivanov,8008.3,6673.58
27,340.65,15,ivanov,9381.48,7817.9
39,420.67,5,ivanov,18702.92,15585.77
1,192.24,5,sidorova,219.16,182.63
15,195.82,15,ivanov,2996.06,2496.72
29,469.35,0,sidorova,16333.44,13611.2
20,349.11,5,petrov,7959.7,6633.08
31,349.29,10,ivanov,11694.38,9745.32
19,239.37,10,sidorova,4911.79,4093.16
3,349.07,15,sidorova,1068.16,890.13
17,236.87,15,petrov,4107.25,3422.71
16,446.82,5,sidorova,8149.97,6791.64
33,585.5,15,sidorova,19708.09,16423.41
6,383.55,0,petrov,2761.6,2301.33
7,282.85,0,ivanov,2375.98,1979.98
6,111.97,15,sidorova,685.26,571.05
23,188.4,0,sidorova,5199.79,4333.16
39,479.94,5,sidorova,21338.03,17781.69
25,247.37,10,sidorova,6679.07,5565.89
32,306.62,5,petrov,11185.68,9321.4
34,398.98,15,petrov,13836.6,11530.5
24,473.41,5,sidorova,12952.39,10793.66
24,322.04,10,sidorova,8347.2,6956.0
10,303.58,0,ivanov,3642.96,3035.8
38,346.45,0,petrov,15797.93,13164.94
31,283.51,0,petrov,10546.67,8788.89
35,288.36,10,sidorova,10899.86,9083.22
39,377.07,0,sidorova,17646.84,14705.7
14,356.68,10,ivanov,5392.94,4494.12
6,531.84,5,sidorova,3637.81,3031.51
34,379.5,10,petrov,13935.11,11612.59
19,443.6,15,ivanov,8597.03,7164.19
38,243.58,15,petrov,9441.32,7867.77
28,387.26,0,ivanov,13012.08,10843.4
11,274.93,15,sidorova,3084.73,2570.61
14,375.59,15,sidorova,5363.44,4469.53
24,401.97,10,sidorova,10418.96,8682.47
16,344.49,0,petrov,6614.17,5511.81
11,556.66,10,petrov,6613.12,5510.93
9,468.52,10,petrov,4554.0,3795.0
26,445.95,10,sidorova,12522.34,10435.28
2,408.79,5,ivanov,932.03,776.69
4,498.7,10,sidorova,2154.4,1795.33
2,210.67,10,petrov,455.05,379.21
29,463.33,5,petrov,15317.54,12764.62
2,250.79,15,sidorova,511.61,426.34
17,289.21,10,ivanov,5309.89,4424.91
5,390.53,5,ivanov,2226.0,1855.0
23,450.99,10,ivanov,11202.59,9335.49
2,236.18,15,sidorova,481.8,401.5
2,293.87,5,ivanov,670.02,558.35
17,348.78,10,petrov,6403.56,5336.3
28,323.23,0,ivanov,10860.43,9050.36
5,416.86,5,sidorova,2376.12,1980.1
20,649.23,10,sidorova,14023.44,11686.2
32,377.74,15,petrov,12329.4,10274.5
25,273.83,10,ivanov,7393.48,6161.23
30,223.31,10,petrov,7235.38,6029.48
13,310.73,5,sidorova,4604.98,3837.48
37,255.38,10,sidorova,10204.88,8504.07
6,382.08,5,petrov,2613.42,2177.85
24,380.68,0,petrov,10963.64,9136.37
17,298.31,0,petrov,6085.62,5071.35
2,518.65,10,ivanov,1120.27,933.56
37,273.81,15,ivanov,10333.58,8611.32
28,329.25,5,sidorova,10509.7,8758.08
9,397.52,15,petrov,3649.27,3041.06
3,420.28,15,sidorova,1286.08,1071.73
27,454.98,10,petrov,13267.27,11056.06
22,378.56,15,petrov,8494.99,7079.16
2,434.58,5,petrov,990.85,825.71
39,280.14,5,sidorova,12455.04,10379.2
29,422.63,10,ivanov,13236.68,11030.57
19,421.43,10,petrov,8647.66,7206.38
10,476.16,10,sidorova,5142.53,4285.44
11,189.84,5,ivanov,2380.61,1983.84
18,258.35,15,ivanov,4743.37,3952.81
3,414.08,0,ivanov,1490.7,1242.25
15,101.38,0,petrov,1824.79,1520.66
9,384.28,5,ivanov,3942.72,3285.6
5,435.38,0,petrov,2612.29,2176.91
5,288.13,5,ivanov,1642.32,1368.6
14,301.28,10,ivanov,4555.39,3796.16
15,243.33,5,ivanov,4160.9,3467.42
14,293.06,0,sidorova,4923.42,4102.85
27,295.67,5,petrov,9100.69,7583.91
21,278.54,10,ivanov,6317.39,5264.49
8,273.61,15,petrov,2232.65,1860.54
38,315.61,15,sidorova,12233.03,10194.19
29,314.52,10,sidorova,9850.79,8208.99
19,508.67,0,sidorova,11597.72,9664.77
2,304.52,0,petrov,730.86,609.05
36,370.97,5,petrov,15224.75,12687.29
30,288.08,0,ivanov,10370.9,8642.42
19,286.94,10,ivanov,5887.93,4906.61
7,186.61,5,sidorova,1489.12,1240.93
5,198.58,15,ivanov,1012.74,843.95
12,231.37,5,sidorova,3165.14,2637.62
9,356.53,5,sidorova,3658.02,3048.35
9,436.86,10,sidorova,4246.24,3538.53
16,179.2,0,petrov,3440.64,2867.2
2,290.58,15,sidorova,592.79,493.99
13,216.98,10,ivanov,3046.39,2538.66
34,316.22,10,sidorova,11611.42,9676.18
34,436.82,5,petrov,16931.11,14109.26
1,299.78,15,sidorova,305.77,254.81
27,335.72,15,ivanov,9245.82,7704.85
39,470.97,0,sidorova,22041.42,18367.85
23,381.21,10,petrov,9469.28,7891.07
16,271.59,15,ivanov,4432.38,3693.65
20,354.3,5,petrov,8078.1,6731.75
9,265.52,10,ivanov,2580.86,2150.72
16,377.84,15,ivanov,6166.4,5138.67
37,386.38,5,petrov,16297.54,13581.28
24,216.96,10,sidorova,5623.49,4686.24
17,355.76,10,ivanov,6531.82,5443.18
5,329.42,0,ivanov,1976.51,1647.09
36,389.02,0,petrov,16805.7,14004.75
7,414.82,10,petrov,3136.04,2613.37
29,382.97,0,ivanov,13327.37,11106.14
12,312.71,15,petrov,3827.6,3189.67
11,424.0,10,petrov,5037.12,4197.6
7,261.42,10,sidorova,1976.36,1646.97
15,221.15,5,ivanov,3781.72,3151.43
27,80.0,5,petrov,2462.4,2052.0
17,333.69,5,ivanov,6466.86,5389.05
1,266.06,10,sidorova,287.34,239.45
11,375.8,5,sidorova,4712.51,3927.09
7,162.59,5,petrov,1297.46,1081.22
16,281.75,0,petrov,5409.67,4508.06
36,382.32,10,sidorova,14864.77,12387.31
38,247.31,10,ivanov,10149.79,8458.16
39,376.83,10,ivanov,15872.21,13226.84
5,289.87,5,ivanov,1652.24,1376.87
20,337.05,0,sidorova,8089.14,6740.95
2,393.56,5,ivanov,897.32,747.77
20,425.75,5,ivanov,9707.14,8089.28
23,348.32,0,ivanov,9613.75,8011.46
31,266.74,15,sidorova,8434.28,7028.57
14,298.78,5,sidorova,4768.48,3973.73
