feature_a,feature_b,feature_c,feature_d,target
-0.25,21.13,y,45,585.8
-2.039,97.8,x,27,398.0
1.122,43.46,x,17,343.28
-0.081,18.18,x,35,491.43
-0.485,33.15,y,22,503.79
-0.56,39.74,y,13,458.19
0.358,62.31,y,23,647.27
-0.894,92.3,y,33,397.98
-2.255,98.66,y,18,537.58
0.407,65.17,z,35,508.16
0.519,69.99,z,49,313.19
-0.2,32.18,x,20,341.72
-1.148,85.72,z,14,501.43
0.089,21.78,x,20,737.74
-1.465,10.64,x,41,569.51
-1.027,97.33,y,8,292.92
-0.751,86.41,x,48,126.74
0.844,30.36,y,20,587.97
-0.363,67.52,x,42,488.45
-0.448,46.7,y,39,636.95
1.955,32.31,z,39,394.31
0.352,28.68,z,45,542.03
0.339,13.6,x,9,601.54
-0.37,54.93,y,29,446.3
-0.596,44.66,y,4,448.87
-2.186,51.22,y,14,503.03
0.969,21.54,y,2,565.12
0.448,93.86,z,34,498.28
-0.179,63.86,y,30,616.88
-0.137,89.96,x,37,444.57
0.736,10.93,z,8,340.59
-1.555,62.29,z,16,737.24
-0.59,84.95,x,33,427.44
-1.136,33.09,y,41,431.79
1.772,19.51,z,44,492.1
0.876,26.5,y,3,508.06
-2.203,27.29,y,20,453.6
-1.514,44.72,z,0,497.91
-0.132,32.6,z,40,495.23
-0.472,27.13,y,6,520.98
-1.324,64.85,x,41,217.1
1.945,5.3,y,7,725.71
0.313,34.04,z,0,482.33
0.475,68.98,x,43,569.67
-0.692,17.58,y,21,334.63
0.722,22.09,y,21,443.48
-0.38,20.07,x,32,419.32
-0.283,0.09,y,13,676.37
0.611,47.38,z,34,429.7
-1.629,3.9,x,21,590.97
1.597,27.29,y,13,421.95
0.182,99.48,z,19,445.69
1.281,91.84,x,0,470.53
-1.075,21.51,y,15,654.06
-0.923,31.0,x,29,273.22
-1.162,46.37,y,6,342.12
0.25,84.44,y,5,266.32
0.066,80.26,x,32,369.5
-0.464,12.62,x,21,402.61
-1.014,12.44,y,6,306.26
-1.267,41.67,z,37,411.9
-0.048,87.01,x,38,258.23
-0.466,88.21,z,1,377.84
-0.686,10.74,x,10,644.05
1.547,57.43,y,18,548.43
-0.082,15.57,y,36,522.5
1.27,68.61,y,3,379.67
-0.533,91.64,x,40,315.67
0.245,45.48,z,15,363.3
-0.055,8.31,x,6,494.81
-1.698,57.93,z,43,604.18
1.428,40.85,y,4,608.28
-0.135,81.09,y,6,575.67
0.746,34.03,x,47,411.49
-0.752,87.49,y,25,502.95
-0.165,27.37,z,23,461.44
-0.867,15.75,z,34,475.86
1.236,30.65,z,31,744.46
0.311,3.49,x,30,288.56
0.367,28.12,y,1,471.84
1.358,66.01,y,27,645.41
1.156,14.23,z,13,324.09
0.765,11.14,z,40,422.75
-1.422,13.24,z,25,436.52
-0.696,7.76,x,6,473.21
-1.004,87.46,x,44,308.49
0.728,94.41,z,14,571.43
0.171,4.66,z,13,579.95
-1.391,76.01,y,46,561.01
-0.189,73.72,x,38,395.56
-1.494,99.69,x,42,510.38
-0.053,34.79,z,33,392.07
-1.655,28.55,y,45,460.09
0.529,45.31,y,5,758.42
0.378,85.66,z,29,511.48
1.908,72.86,x,14,357.5
0.848,47.16,z,19,521.64
-0.423,24.46,x,11,337.78
0.818,72.7,z,10,356.12
-1.398,85.45,z,22,375.07
-0.962,40.0,y,45,446.68
0.333,66.86,x,31,612.44
-2.158,40.02,x,17,569.41
-0.037,47.85,x,21,562.76
-1.02,52.49,z,26,368.13
0.101,77.57,x,12,435.04
-1.078,97.75,y,26,532.64
0.424,44.44,y,34,424.6
0.019,34.23,z,12,466.6
1.4,37.36,z,29,552.96
0.007,13.39,y,35,458.15
-0.769,29.69,z,25,527.13
-0.247,8.64,y,14,691.13
-1.344,42.79,y,27,479.38
0.406,16.74,x,39,641.52
0.59,34.64,x,11,567.12
2.469,79.36,y,28,323.93
-0.622,24.59,x,34,367.74
-0.268,61.19,x,16,399.97
-0.576,90.12,y,19,397.42
0.212,56.69,y,44,489.17
0.382,19.38,z,18,573.76
-0.053,34.48,z,29,650.62
1.086,59.04,z,7,536.98
-0.617,50.66,x,46,446.52
0.986,14.86,y,29,250.13
0.538,44.68,z,38,508.47
-0.012,54.31,y,30,503.09
-0.315,26.73,y,17,521.95
2.427,61.24,y,17,752.75
-0.817,7.02,y,35,648.87
0.298,33.66,y,42,594.21
-0.75,80.43,x,6,384.55
1.786,25.93,y,42,438.44
0.887,60.52,x,41,488.62
-0.678,41.0,z,5,406.95
0.513,31.65,z,5,560.06
0.258,91.61,y,34,542.83
-0.517,34.33,y,42,369.4
0.758,23.67,z,19,643.62
0.389,90.93,y,32,512.28
0.216,74.59,y,49,292.51
-0.042,68.18,x,16,493.84
0.431,4.95,x,11,533.74
0.229,13.12,x,49,616.74
0.059,63.83,x,14,459.5
-0.641,20.94,z,23,599.35
1.694,22.56,y,22,522.46
-1.05,77.91,z,26,342.19
0.428,28.59,y,13,330.18
