sex,pclass,age,fare,siblings,survived
female,2,49.0,32.98,1,0
male,2,41.0,14.07,1,0
female,1,31.0,92.03,1,1
male,1,1.0,29.13,0,1
female,3,17.0,13.56,1,1
male,2,39.0,25.68,1,0
male,3,46.0,9.32,0,0
female,3,44.0,13.26,1,0
male,1,9.0,70.95,0,0
female,1,34.0,145.33,0,1
male,1,43.0,101.47,0,0
female,3,8.0,15.84,0,0
male,1,30.0,57.07,0,0
male,3,34.0,11.65,3,0
male,3,26.0,26.34,0,0
male,3,6.0,9.09,1,0
male,2,26.0,15.42,0,0
female,1,26.0,79.59,1,0
female,1,28.0,85.42,1,1
female,1,23.0,78.55,0,1
male,1,24.0,60.6,0,0
male,3,29.0,19.49,0,0
male,3,36.0,16.13,0,0
female,3,26.0,23.8,1,1
female,3,25.0,4.0,0,0
male,1,31.0,117.43,1,0
female,3,5.0,9.22,1,1
male,3,36.0,4.0,1,0
male,3,30.0,18.36,0,0
male,3,31.0,10.38,0,0
male,2,42.0,11.35,1,0
female,1,5.0,108.71,0,1
female,2,4.0,28.59,0,1
male,2,34.0,17.18,1,0
male,3,30.0,12.71,0,0
female,2,32.0,7.15,4,1
female,3,24.0,8.6,1,1
male,3,39.0,8.21,0,0
male,1,42.0,82.06,0,1
female,2,36.0,15.83,1,0
male,3,27.0,4.0,1,0
female,3,3.0,4.65,0,1
male,2,40.0,16.54,0,0
female,2,46.0,34.3,0,1
male,3,38.0,7.43,0,0
male,1,19.0,52.01,0,1
female,3,39.0,12.08,1,1
male,1,41.0,89.53,0,1
male,1,50.0,102.38,0,0
female,3,19.0,6.95,0,0
female,3,27.0,13.64,0,1
male,3,40.0,11.4,1,0
male,2,31.0,14.11,0,0
male,3,15.0,4.62,0,0
female,3,35.0,14.14,0,0
male,3,38.0,18.55,0,0
male,2,31.0,31.66,1,0
female,1,33.0,83.83,1,1
female,3,27.0,11.42,0,0
female,2,49.0,27.31,0,1
female,3,18.0,11.57,0,1
female,1,22.0,121.88,1,0
female,3,30.0,11.29,2,1
female,3,41.0,6.66,0,0
male,3,11.0,9.05,0,0
male,3,13.0,13.21,0,0
male,1,4.0,66.38,1,0
female,3,30.0,14.91,1,1
male,3,15.0,15.14,0,0
male,3,25.0,17.33,1,0
male,2,39.0,41.14,1,0
male,3,22.0,17.98,3,0
male,3,33.0,6.39,1,0
female,3,26.0,6.58,1,0
female,2,39.0,15.39,0,0
male,3,36.0,9.29,0,0
male,3,21.0,5.17,0,0
male,3,28.0,9.35,0,0
female,2,44.0,14.4,1,0
female,2,35.0,20.56,1,0
male,3,12.0,10.11,1,0
female,3,39.0,19.07,0,0
male,3,16.0,13.2,2,0
male,2,48.0,19.22,0,0
female,1,43.0,79.15,0,1
male,3,34.0,10.26,1,0
male,1,32.0,108.68,1,0
male,1,27.0,103.25,1,0
male,3,39.0,14.61,0,0
female,3,25.0,24.46,4,1
female,3,33.0,6.93,0,0
male,2,41.0,27.53,0,0
male,1,23.0,52.29,0,1
female,3,22.0,4.0,0,1
male,1,14.0,112.25,1,0
female,1,16.0,88.81,0,1
female,2,6.0,24.92,0,0
male,3,39.0,11.95,0,0
female,3,54.0,4.0,0,0
male,3,49.0,4.45,1,1
male,3,9.0,18.29,1,0
male,1,39.0,122.06,0,0
male,2,48.0,20.23,1,0
female,3,24.0,13.38,0,1
female,1,31.0,93.31,0,1
female,2,4.0,10.12,1,1
female,2,33.0,23.13,0,1
male,1,16.0,105.92,0,1
male,3,33.0,6.57,1,0
female,3,10.0,12.92,0,1
female,1,37.0,37.59,1,1
male,3,43.0,19.43,1,0
male,3,20.0,8.01,0,1
male,3,15.0,17.62,1,0
male,3,2.0,7.3,0,1
female,2,27.0,33.19,0,1
male,3,22.0,5.2,0,0
female,2,10.0,25.96,1,1
female,2,36.0,23.17,1,1
female,1,24.0,69.78,0,1
male,3,16.0,15.55,0,0
male,2,23.0,28.86,1,0
female,2,44.0,13.1,0,1
female,3,38.0,16.69,1,1
male,2,28.0,31.49,0,0
female,2,38.0,23.69,0,1
male,1,15.0,70.2,1,0
female,2,30.0,25.2,0,0
male,2,32.0,4.0,0,0
male,2,24.0,24.42,0,0
male,2,36.0,21.09,0,0
male,3,20.0,13.41,0,0
male,3,37.0,19.29,0,0
male,3,37.0,21.7,0,0
male,3,1.0,16.68,1,0
female,3,45.0,13.72,0,0
male,3,1.0,16.49,2,0
female,3,22.0,8.0,0,0
female,3,43.0,11.08,0,1
male,3,26.0,7.06,0,0
male,3,11.0,4.51,0,0
female,3,16.0,14.0,0,0
female,1,43.0,122.73,0,1
male,1,5.0,119.21,0,1
female,3,45.0,15.28,1,1
male,3,29.0,13.46,0,1
male,2,14.0,19.03,2,0
female,3,22.0,11.74,0,1
male,3,17.0,14.48,0,0
female,3,41.0,7.64,0,0
male,1,40.0,114.99,1,0
female,2,8.0,12.64,0,1
male,3,25.0,7.98,0,0
male,3,19.0,12.31,0,0
male,3,47.0,8.26,0,0
male,3,12.0,8.84,0,0
female,3,51.0,5.25,1,1
male,2,30.0,14.44,0,0
male,2,15.0,20.12,0,0
male,2,21.0,41.67,0,1
male,3,20.0,23.83,0,0
female,3,13.0,10.86,0,0
male,2,31.0,27.18,1,0
female,3,14.0,10.63,0,1
male,2,2.0,7.79,0,1
female,1,25.0,109.35,0,1
male,1,7.0,55.91,0,1
male,1,20.0,79.71,1,0
female,3,18.0,11.32,0,1
female,2,19.0,20.67,1,1
female,3,56.0,13.43,0,1
male,3,31.0,13.62,0,0
male,1,33.0,103.65,1,1
female,1,7.0,83.88,2,1
male,3,21.0,11.2,3,1
