hours_studied,sleep_hours,attendance_pct,prev_score,exam_score
7.74,7.77,45.4,84.3,97.8
4.39,6.53,93.8,50.3,76.7
8.59,6.99,41.7,68.0,91.0
6.97,6.8,54.4,86.9,97.9
0.94,7.41,48.6,45.2,53.1
9.76,8.69,86.6,49.6,100.0
7.61,7.11,51.9,59.9,90.4
7.86,7.77,94.6,58.8,100.0
1.28,4.54,79.4,74.8,69.1
4.5,6.94,42.2,67.9,78.9
3.71,5.99,40.3,43.7,61.8
9.27,5.54,43.1,71.2,95.4
6.44,5.95,76.4,58.1,83.7
8.23,6.6,88.1,80.3,100.0
4.43,8.1,54.3,57.5,77.1
2.27,5.41,91.0,57.4,73.8
5.55,7.04,43.4,71.5,86.1
0.64,6.42,88.1,74.2,65.4
8.28,6.61,95.7,70.4,100.0
6.32,8.2,86.3,44.8,87.5
7.58,7.65,81.9,71.5,100.0
3.55,8.6,90.3,52.6,77.3
9.71,6.81,42.4,67.8,99.4
8.93,6.16,52.1,47.9,93.9
7.78,6.73,47.5,70.4,91.4
1.95,7.29,70.3,55.3,61.9
4.67,7.21,84.7,49.6,81.1
0.44,5.7,77.8,73.6,59.8
1.54,7.11,91.1,67.9,71.4
6.83,7.27,49.3,57.6,86.9
7.45,10.02,84.1,82.4,100.0
9.68,9.25,51.6,59.7,100.0
3.26,5.98,56.2,65.4,75.1
3.7,6.66,82.6,68.2,74.6
4.7,5.24,98.8,57.6,74.3
1.89,6.29,76.7,70.7,61.3
1.3,7.38,43.3,58.6,56.3
4.76,8.45,77.0,60.1,83.6
2.27,6.13,42.5,81.4,65.7
6.7,6.22,93.0,52.5,96.6
4.37,4.42,82.6,36.0,59.2
8.33,6.8,50.4,84.3,100.0
7.0,5.73,45.5,95.6,100.0
3.12,6.36,51.0,60.1,61.9
8.32,5.95,98.8,41.8,96.3
8.05,6.89,67.5,61.3,93.7
3.87,4.89,87.0,61.6,73.0
2.88,5.24,78.2,62.7,69.0
6.82,9.56,74.3,51.6,98.4
1.4,5.46,48.7,72.0,66.6
2.0,5.68,96.8,71.3,71.7
0.07,9.2,58.1,47.1,59.8
7.87,10.49,74.7,73.4,100.0
6.65,5.59,82.0,89.6,100.0
7.05,6.56,79.0,67.1,95.0
7.81,7.41,96.4,61.0,100.0
4.59,9.07,48.9,63.3,79.8
5.69,5.82,70.5,72.4,99.7
1.4,6.71,64.2,44.2,59.5
1.15,7.93,68.5,67.0,61.4
6.68,7.52,47.2,60.3,89.6
4.71,6.55,48.0,87.2,80.9
5.65,6.84,56.7,62.9,80.4
